Order_ID,Delivery_Time_Minutes,Delivery_Status
100002,38,Delivered
100003,32,Delivered
100004,32,Delivered
100008,58,Delivered
100012,61,Delivered
100013,52,Late
100018,32,Delivered
100019,65,Delivered
100020,38,Delivered
100021,36,Delivered
100022,50,Cancelled
100026,52,Delivered
100029,42,Delivered
100032,48,Delivered
100033,44,Delivered
100034,54,Delivered
100035,44,Delivered
100036,29,Delivered
100037,42,Delivered
100040,28,Delivered
100041,36,Delivered
100042,28,Delivered
100044,30,Delivered
100045,59,Delivered
100046,35,Delivered
100047,64,Delivered
100049,31,Cancelled
100051,63,Delivered
100052,58,Delivered
100053,59,Delivered
100055,63,Delivered
100058,53,Delivered
100063,42,Delivered
100064,42,Delivered
100067,49,Delivered
100072,48,Delivered
100074,61,Delivered
100077,52,Delivered
100079,30,Delivered
100084,44,Late
100085,29,Delivered
100086,61,Delivered
100087,33,Delivered
100088,25,Delivered
100090,60,Delivered
100093,56,Delivered
100095,64,Delivered
100096,56,Delivered
100097,42,Delivered
100099,55,Delivered
100100,46,Delivered
100101,61,Delivered
100108,61,Delivered
100110,25,Delivered
100112,49,Delivered
100113,32,Cancelled
100114,64,Delivered
100115,28,Delivered
100116,56,Delivered
100117,51,Delivered
100118,56,Delivered
100119,45,Delivered
100121,40,Delivered
100122,59,Delivered
100123,61,Delivered
100125,44,Late
100127,43,Delivered
100128,64,Delivered
100129,51,Delivered
100133,60,Delivered
100138,47,Delivered
100140,26,Delivered
100141,36,Delivered
100143,36,Delivered
100145,32,Delivered
100146,39,Delivered
100147,60,Delivered
100152,46,Delivered
100153,60,Delivered
100154,58,Delivered
100155,30,Delivered
100156,40,Late
100158,34,Delivered
100159,62,Late
100164,27,Delivered
100165,35,Delivered
100166,49,Delivered
100171,36,Delivered
100172,41,Delivered
100173,52,Delivered
100175,44,Delivered
100176,59,Delivered
100177,64,Delivered
100178,65,Delivered
100179,56,Delivered
100181,49,Delivered
100184,33,Delivered
100188,45,Delivered
100193,37,Delivered
100195,52,Delivered
100197,53,Delivered
100199,59,Delivered
100200,50,Late
100204,40,Cancelled
100205,64,Delivered
100207,29,Delivered
100211,40,Late
100212,40,Late
100213,59,Delivered
100215,57,Delivered
100221,64,Delivered
100222,32,Delivered
100223,26,Delivered
100224,43,Delivered
100226,26,Delivered
100227,50,Late
100229,65,Delivered
100230,62,Delivered
100233,39,Delivered
100236,50,Delivered
100240,54,Delivered
100244,50,Delivered
100245,26,Cancelled
100246,51,Delivered
100251,28,Delivered
100252,54,Delivered
100254,46,Delivered
100256,37,Delivered
100259,53,Delivered
100260,46,Late
100262,38,Delivered
100264,57,Delivered
100266,52,Delivered
100269,65,Delivered
100273,36,Delivered
100274,30,Delivered
100277,25,Late
100279,53,Delivered
100281,55,Cancelled
100284,54,Delivered
100285,31,Delivered
100286,43,Delivered
100287,37,Delivered
100288,30,Delivered
100290,37,Delivered
100292,39,Delivered
100299,45,Delivered
100300,55,Delivered
100301,36,Delivered
100304,58,Delivered
100305,54,Delivered
100306,31,Delivered
100309,40,Delivered
100311,38,Delivered
100316,59,Delivered
100317,26,Cancelled
100318,63,Delivered
100321,59,Cancelled
100322,26,Delivered
100325,54,Delivered
100328,65,Delivered
100329,38,Delivered
100330,54,Delivered
100334,34,Delivered
100335,65,Delivered
100336,48,Delivered
100338,65,Delivered
100339,44,Delivered
100340,51,Delivered
100341,31,Delivered
100342,63,Delivered
100346,26,Delivered
100351,31,Delivered
100353,25,Delivered
100356,62,Delivered
100359,41,Delivered
100361,54,Delivered
100363,40,Delivered
100366,56,Delivered
100373,48,Delivered
100375,32,Delivered
100376,40,Delivered
100378,44,Delivered
100379,35,Delivered
100383,65,Delivered
100384,46,Delivered
100385,25,Delivered
100387,56,Delivered
100388,59,Delivered
100392,55,Delivered
100393,64,Delivered
100395,65,Delivered
100396,33,Delivered
100397,51,Delivered
100398,52,Delivered
100400,34,Delivered
100402,59,Delivered
100404,55,Delivered
100409,30,Delivered
100416,50,Delivered
100420,54,Delivered
100421,30,Delivered
100422,38,Delivered
100424,38,Delivered
100426,53,Delivered
100428,41,Delivered
100432,44,Delivered
100433,41,Late
100435,56,Delivered
100436,32,Delivered
100437,43,Delivered
100438,27,Delivered
100442,25,Delivered
100444,32,Delivered
100446,30,Delivered
100447,31,Delivered
100449,31,Delivered
100450,62,Delivered
100451,48,Delivered
100456,51,Delivered
100459,43,Delivered
100461,46,Delivered
100462,56,Delivered
100464,37,Delivered
100466,33,Delivered
100468,32,Delivered
100469,50,Delivered
100470,36,Delivered
100472,43,Delivered
100473,58,Delivered
100474,43,Delivered
100478,51,Delivered
100479,34,Delivered
100482,40,Late
100483,39,Late
100485,39,Delivered
100495,47,Delivered
100496,31,Delivered
100497,60,Delivered
100498,32,Delivered
100499,52,Cancelled
100501,39,Delivered
100503,45,Delivered
100505,44,Delivered
100506,37,Delivered
100507,52,Delivered
100508,38,Delivered
100509,62,Delivered
100511,65,Delivered
100517,50,Delivered
100519,46,Late
100522,32,Delivered
100524,33,Delivered
100525,54,Delivered
100526,56,Delivered
100532,25,Delivered
100534,47,Late
100535,53,Delivered
100536,64,Delivered
100537,39,Delivered
100540,41,Delivered
100541,59,Delivered
100542,28,Delivered
100543,27,Delivered
100545,28,Delivered
100546,36,Delivered
100548,45,Delivered
100549,53,Delivered
100550,27,Delivered
100552,36,Delivered
100553,33,Delivered
100554,27,Delivered
100555,39,Delivered
100556,60,Delivered
100557,40,Delivered
100559,26,Delivered
100560,54,Delivered
100563,64,Late
100564,64,Delivered
100565,60,Delivered
100566,35,Delivered
100567,62,Delivered
100568,45,Delivered
100570,29,Delivered
100573,55,Delivered
100574,61,Late
100576,37,Delivered
100578,54,Delivered
100579,56,Delivered
100584,40,Delivered
100585,53,Delivered
100586,59,Delivered
100587,36,Delivered
100588,36,Cancelled
100589,52,Delivered
100595,31,Delivered
100596,36,Delivered
100598,37,Delivered
100599,26,Delivered
100604,53,Late
100605,27,Delivered
100606,29,Delivered
100607,28,Delivered
100608,28,Delivered
100611,28,Late
100615,43,Delivered
100619,34,Delivered
100621,57,Delivered
100622,52,Cancelled
100624,30,Delivered
100625,52,Delivered
100631,38,Delivered
100632,33,Delivered
100634,50,Delivered
100635,45,Delivered
100636,38,Delivered
100637,30,Delivered
100639,34,Delivered
100640,62,Delivered
100642,37,Delivered
100643,54,Delivered
100644,40,Delivered
100646,51,Delivered
100647,50,Delivered
100651,26,Delivered
100653,55,Delivered
100654,51,Delivered
100657,48,Delivered
100658,33,Delivered
100661,52,Delivered
100662,62,Delivered
100663,29,Delivered
100665,57,Cancelled
100667,54,Delivered
100668,57,Delivered
100669,50,Delivered
100672,60,Delivered
100677,61,Delivered
100679,33,Delivered
100680,54,Delivered
100682,36,Late
100683,52,Delivered
100684,59,Delivered
100685,59,Delivered
100686,49,Delivered
100688,65,Delivered
100689,61,Delivered
100694,39,Delivered
100696,40,Delivered
100697,26,Delivered
100698,32,Delivered
100700,59,Delivered
100701,38,Delivered
100703,30,Delivered
100704,62,Delivered
100706,33,Delivered
100708,56,Delivered
100713,51,Delivered
100714,36,Delivered
100722,39,Delivered
100725,41,Delivered
100726,59,Delivered
100727,32,Delivered
100729,61,Delivered
